maker,name,kakakucom-id,mount,lens-type,focus-mode,lens-class,support-FF,support-APSC,lens_construction,aperture_blades,focal_length,minimum_focusing_distance,maximum_magnification,maximum_aperture,angle_of_view,stabilization,splash-proof,dust-proof,wide-lens,telephoto-lens,macro-lens,high-magnification-lens,fisheye-lens,aori-lens,mirror-lens,blank_1,large-diameter,pancake,filter-diameter,size,weight,blank_2,model_number,minimum_focusing_distance,maximum_focusing_distance,maximum_aperture,minimum_aperture,maximum_angle_of_view,minimum_angle_of_view,minimum_shooting_distance,minimum_shooting_distance_tele,minimum_shooting_distance_wide,teleconverter_14x,teleconverter_20x,sensor_size,description,grade
シグマ,35mm F1.4 DG DN [ソニーE用],K0001351892,α Eマウント系,単焦点,AF/MF,大口径レンズ,TRUE,　,11群15枚,11 枚,35 mm,0.3m,01:05.4,F1.4,63.4 度,　,TRUE,TRUE,　,　,　,　,　,　,　, ,TRUE,　,67 mm,75.5x111.5 mm,640 g, ,,,,,,,,,,,,,,,
銘匠光学,TTArtisan 35mm f/1.4 C シルバー [ソニーE用],K0001350402,α Eマウント系,単焦点,MF,標準レンズ,　,TRUE,6群7枚,10 枚,35 mm,0.28m,　,F1.4,　,　,　,　,　,　,　,　,　,　,　, ,TRUE,　,39 mm,56x50 mm,180 g, ,,,,,,,,,,,,,,,
銘匠光学,TTArtisan 21mm f/1.5 ASPH [ソニーE用],K0001350407,α Eマウント系,単焦点,MF,大口径レンズ,TRUE,　,11群13枚,10 枚,21 mm,0.5m,　,F1.5,　,　,　,　,TRUE,　,　,　,　,　,　, ,TRUE,　,72 mm,56x76 mm,420 g, ,,,,,,,,,,,,,,,
SONY,FE 40mm F2.5 G SEL40F25G,K0001344015,α Eマウント系,単焦点,AF/MF,標準単焦点レンズ,TRUE,　,9群9枚,7 枚,40 mm,0.28m(AF時)/0.25m(MF時),0.2倍(AF時)/0.23倍(MF時),F2.5,57 度,　,TRUE,TRUE,　,　,　,　,　,　,　, ,　,　,49 mm,68x45 mm,173 g, ,,,,,,,,,,,,,,,
SONY,FE 24mm F2.8 G SEL24F28G,K0001344016,α Eマウント系,単焦点,AF/MF,広角単焦点レンズ,TRUE,　,7群8枚,7 枚,24 mm,0.24m(AF時)/0.18m(MF時),0.13倍(AF時)/0.19倍(MF時),F2.8,84 度,　,TRUE,TRUE,TRUE,　,　,　,　,　,　, ,　,　,49 mm,68x45 mm,162 g, ,,,,,,,,,,,,,,,
SONY,FE 50mm F2.5 G SEL50F25G,K0001344014,α Eマウント系,単焦点,AF/MF,標準単焦点レンズ,TRUE,　,9群9枚,7 枚,50 mm,0.35m(AF時)/0.31m(MF時),0.18倍(AF時)/0.21倍(MF時),F2.5,47 度,　,TRUE,TRUE,　,　,　,　,　,　,　, ,　,　,49 mm,68x45 mm,174 g, ,,,,,,,,,,,,,,,
SONY,FE 50mm F1.2 GM SEL50F12GM,K0001342610,α Eマウント系,単焦点,AF/MF,大口径標準単焦点レンズ,TRUE,　,10群14枚,11 枚,50 mm,0.4m,0.17倍,F1.2,47 度,　,TRUE,TRUE,　,　,　,　,　,　,　, ,TRUE,　,72 mm,87x108 mm,778 g, ,,,,,,,,,,,,,,,
コシナ,フォクトレンダー APO-LANTHAR 35mm F2 Aspherical,K0001332659,α Eマウント系,単焦点,MF,準広角レンズ,TRUE,　,9群11枚,12 枚,35 mm,0.35m,01:06.5,F2,62.2 度,　,　,　,TRUE,　,　,　,　,　,　, ,　,　,49 mm,62.6x67.3 mm,352 g, ,,,,,,,,,,,,,,,
七工匠,7Artisans 35mm F5.6 3556EB [ソニーE用],K0001345113,α Eマウント系,単焦点,MF,パンケーキレンズ,TRUE,　,4群5枚,　,35 mm,0.3m,　,F5.6,63 度,　,　,　,　,　,　,　,　,　,　, ,　,TRUE,　,66x21.5 mm,　, ,,,,,,,,,,,,,,,
Lensbaby,Spark 2.0 [ソニーE用],K0001325928,α Eマウント系,単焦点,MF,　,TRUE,　,1群2枚,12 枚,50 mm,　,　,F2.5,　,　,　,　,　,　,　,　,　,TRUE,　, ,　,　,46 mm,　,　, ,,,,,,,,,,,,,,,
シグマ,28-70mm F2.8 DG DN [ソニーE用],K0001334313,α Eマウント系,標準ズーム,AF/MF,大口径標準ズームレンズ,TRUE,　,12群16枚,9 枚,28〜70 mm,W：19cm/T：38cm,W：1：3.3/T：1：4.6,F2.8,75.4〜34.3 度,　,TRUE,TRUE,　,　,　,　,　,　,　, ,TRUE,　,67 mm,72.2x103.5 mm,470 g, ,,,,,,,,,,,,,,,
SONY,FE 35mm F1.4 GM SEL35F14GM,K0001324762,α Eマウント系,単焦点,AF/MF,大口径広角単焦点レンズ,TRUE,　,10群14枚,11 枚,35 mm,0.27m(AF時)/0.25m(MF時),0.23倍(AF時)/0.26倍(MF時),F1.4,63 度,　,TRUE,TRUE,TRUE,　,　,　,　,　,　, ,TRUE,　,67 mm,76x96 mm,524 g, ,,,,,,,,,,,,,,,
銘匠光学,TTArtisan 50mm f/1.2 C [ソニーE用],K0001322119,α Eマウント系,単焦点,MF,中望遠レンズ,　,TRUE,5群7枚,10 枚,50 mm,0.5m,　,F1.2,　,　,　,　,　,　,　,　,　,　,　, ,TRUE,　,52 mm,62x55 mm,335 g, ,,,,,,,,,,,,,,,
Machang Optical,KamLan KL 32mm F1.1 [ソニーE用],K0001331173,α Eマウント系,単焦点,MF,ハイスピードレンズ,　,TRUE,7群9枚,11 枚,32 mm,0.4m,　,F1.1,48 度,　,　,　,　,　,　,　,　,　,　, ,　,　,62 mm,　,　, ,,,,,,,,,,,,,,,
SONY,FE 28-60mm F4-5.6 SEL2860,K0001289786,α Eマウント系,標準ズーム,AF/MF,標準ズームレンズ,TRUE,　,7群8枚,7 枚,28〜60 mm,0.3m(W)/0.45m(T),0.16倍,F4-5.6,75〜40 度,　,TRUE,TRUE,　,　,　,　,　,　,　, ,　,　,40.5 mm,66.6x45 mm,167 g, ,,,,,,,,,,,,,,,
Anhui ChangGeng Optical Technology,LAOWA 14mm F4.0 FF RL Zero-D [ソニーE用],K0001325045,α Eマウント系,単焦点,MF,超広角レンズ,TRUE,　,9群13枚,5 枚,14 mm,0.27m,0.07倍,F4,114 度,　,　,　,TRUE,　,　,　,　,　,　, ,　,　,52 mm,　,　, ,,,,,,,,,,,,,,,
シグマ,24mm F3.5 DG DN [ソニーE用],K0001316190,α Eマウント系,単焦点,AF/MF,広角レンズ,TRUE,　,8群10枚,7 枚,24 mm,0.108m,1:02,F3.5,84.1 度,　,TRUE,TRUE,TRUE,　,　,　,　,　,　, ,　,　,55 mm,64x50.8 mm,230 g, ,,,,,,,,,,,,,,,
Lensbaby,コンポーザープロII W/スウィート80 [ソニーE用],K0001325922,α Eマウント系,単焦点,MF,セレクティブフォーカスレンズ,　,　,2群4枚,12 枚,80 mm,　,　,F2.8,　,　,　,　,　,　,　,　,　,TRUE,　, ,　,　,46 mm,63.5x85.9 mm,303.43 g, ,,,,,,,,,,,,,,,
Lensbaby,コンポーザープロII W/エッジ80 [ソニーE用],K0001325914,α Eマウント系,単焦点,　,ティルトレンズ,TRUE,　,4群5枚,9 枚,80 mm,0.432m,　,F2.8,　,　,　,　,　,　,　,　,　,TRUE,　, ,　,　,46 mm,　,　, ,,,,,,,,,,,,,,,
TAMRON,17-70mm F/2.8 Di III-A VC RXD (Model B070),K0001317069,α Eマウント系,標準ズーム,AF/MF,大口径標準ズームレンズ,　,TRUE,12群16枚,9 枚,17〜70 mm,0.19m(WIDE)/0.39m(TELE),1：4.8(WIDE)/1：5.2(TELE),F2.8,79.55〜23 度,TRUE,TRUE,　,　,　,　,　,　,　,　, ,TRUE,　,67 mm,74.6x119.3 mm,525 g, ,,,,,,,,,,,,,,,
銘匠光学,TTArtisan 35mm f/1.4 C [ソニーE用],K0001321069,α Eマウント系,単焦点,MF,標準レンズ,　,TRUE,6群7枚,10 枚,35 mm,0.28m,　,F1.4,　,　,　,　,　,　,　,　,　,　,　, ,TRUE,　,39 mm,56x50 mm,180 g, ,,,,,,,,,,,,,,,
シグマ,35mm F2 DG DN [ソニーE用],K0001316192,α Eマウント系,単焦点,AF/MF,単焦点レンズ,TRUE,　,9群10枚,9 枚,35 mm,0.27m,01:05.7,F2,63.4 度,　,TRUE,TRUE,　,　,　,　,　,　,　, ,　,　,58 mm,70x67.4 mm,325 g, ,,,,,,,,,,,,,,,
シグマ,65mm F2 DG DN [ソニーE用],K0001316194,α Eマウント系,単焦点,AF/MF,単焦点レンズ,TRUE,　,9群12枚,9 枚,65 mm,0.55m,01:06.8,F2,36.8 度,　,TRUE,TRUE,　,　,　,　,　,　,　, ,　,　,62 mm,72x76.7 mm,405 g, ,,,,,,,,,,,,,,,
SONY,FE C 16-35mm T3.1 G SELC1635G,K0001376492,α Eマウント系,広角ズーム,AF/MF,大口径広角ズームレンズ,TRUE,　,13群16枚,11 枚,16〜35 mm,0.28m,0.19倍,F2.8,83〜44 度,　,　,　,TRUE,　,　,　,　,　,　, ,TRUE,　,　,118.5x147 mm,1390 g, ,,,,,,,,,,,,,,,
SAMYANG,AF 35mm F1.8 FE,K0001310521,α Eマウント系,単焦点,AF,AFレンズ,TRUE,　,8群10枚,9 枚,35 mm,0.29m,0.17倍,F1.8,63.1 度,　,TRUE,TRUE,　,　,　,　,　,　,　, ,　,　,58 mm,65x63.5 mm,235 g, ,,,,,,,,,,,,,,,
Anhui ChangGeng Optical Technology,LAOWA 11mm F4.5 FF RL [ソニーE用],K0001306307,α Eマウント系,単焦点,　,超広角レンズ,TRUE,　,10群14枚,5 枚,11 mm,0.19m,0.1倍,F4.5,126 度,　,　,　,TRUE,　,　,　,　,　,　, ,　,　,62 mm,　,　, ,,,,,,,,,,,,,,,
TAMRON,70-300mm F/4.5-6.3 Di III RXD (Model A047),K0001293791,α Eマウント系,望遠ズーム,AF/MF,望遠ズームレンズ,TRUE,　,10群15枚,7 枚,70〜300 mm,0.8m(WIDE)/1.5m(TELE),1：9.4(WIDE)/1：5.1(TELE),F4.5-6.3,34.21〜8.15 度,　,TRUE,　,　,TRUE,　,　,　,　,　, ,　,　,67 mm,77x148 mm,545 g, ,,,,,,,,,,,,,,,
シグマ,105mm F2.8 DG DN MACRO [ソニーE用],K0001294803,α Eマウント系,単焦点,AF/MF,マクロレンズ,TRUE,　,12群17枚,9 枚,105 mm,0.295m,1:01,F2.8,23.3 度,　,TRUE,TRUE,　,　,TRUE,　,　,　,　, ,　,　,62 mm,74x135.6 mm,710 g, ,,,,,,,,,,,,,,,
SAMYANG,MF 14mm F2.8 MK2 [ソニーE用],K0001286912,α Eマウント系,単焦点,MF,超広角単焦点レンズ,TRUE,　,10群14枚,9 枚,14 mm,0.28m,0.08倍,F2.8,115.7 度,　,TRUE,TRUE,TRUE,　,　,　,　,　,　, ,　,　,　,　,　, ,,,,,,,,,,,,,,,
SAMYANG,MF 85mm F1.4 MK2 [ソニーE用],K0001286918,α Eマウント系,単焦点,MF,大口径中望遠レンズ,TRUE,　,　,9 枚,85 mm,1.1m,0.09倍,F1.4,28.3 度,　,TRUE,TRUE,　,　,　,　,　,　,　, ,TRUE,　,72 mm,　,　, ,,,,,,,,,,,,,,,
シグマ,85mm F1.4 DG DN [ソニーE用],K0001279107,α Eマウント系,単焦点,AF/MF,大口径中望遠レンズ,TRUE,　,11群15枚,11 枚,85 mm,0.85m,01:08.4,F1.4,28.6 度,　,TRUE,TRUE,　,　,　,　,　,　,　, ,TRUE,　,77 mm,82.8x96.1 mm,625 g, ,,,,,,,,,,,,,,,
Anhui ChangGeng Optical Technology,LAOWA 9mm F5.6 W-Dreamer [ソニーE用],K0001277806,α Eマウント系,単焦点,MF,超広角レンズ,TRUE,　,10群14枚,5 枚,9 mm,0.12m,0.21倍,F5.6,135 度,　,　,　,TRUE,　,　,　,　,　,　, ,　,　,　,　,　, ,,,,,,,,,,,,,,,
SONY,FE 12-24mm F2.8 GM SEL1224GM,K0001271500,α Eマウント系,広角ズーム,AF/MF,大口径超広角ズームレンズ,TRUE,　,14群17枚,9 枚,12〜24 mm,0.28m,0.14倍,F2.8,122〜84 度,　,TRUE,TRUE,TRUE,　,　,　,　,　,　, ,TRUE,　,　,97.6x137 mm,847 g, ,,,,,,,,,,,,,,,
コシナ,フォクトレンダー NOKTON 50mm F1.2 Aspherical SE,K0001252043,α Eマウント系,単焦点,MF,単焦点レンズ,TRUE,　,6群8枚,12 枚,50 mm,0.45m,1:07,F1.2,47.5 度,　,　,　,　,　,　,　,　,　,　, ,TRUE,　,58 mm,66.5x58.5 mm,383 g, ,,,,,,,,,,,,,,,
Lensbaby,Velvet 28 [ソニーE用],K0001272773,α Eマウント系,単焦点,MF,ソフトフォーカスレンズ,TRUE,　,7群8枚,12 枚,28 mm,0.058m,0.5倍,F2.5,　,　,　,　,　,　,　,　,　,　,　, ,　,　,67 mm,72.4x88.9 mm,594 g, ,,,,,,,,,,,,,,,
シグマ,100-400mm F5-6.3 DG DN OS [ソニーE用],K0001266474,α Eマウント系,望遠ズーム,AF/MF,超望遠ズームレンズ,TRUE,　,16群22枚,9 枚,100〜400 mm,W：112cm/T：160cm,01:04.1,F5-6.3,24.4〜6.2 度,TRUE,TRUE,TRUE,　,TRUE,　,　,　,　,　, ,　,　,67 mm,86x199.2 mm,1140 g, ,,,,,,,,,,,,,,,
七工匠,7Artisans 35mm F1.4 3514EB [ソニーE用],K0001270706,α Eマウント系,単焦点,MF,単焦点レンズ,TRUE,　,9群10枚,11 枚,35 mm,0.4m,　,F1.4,63 度,　,　,　,　,　,　,　,　,　,　, ,TRUE,　,46 mm,56x55 mm,　, ,,,,,,,,,,,,,,,
TAMRON,28-200mm F/2.8-5.6 Di III RXD (Model A071),K0001264399,α Eマウント系,標準ズーム,AF/MF,高倍率ズームレンズ,TRUE,　,14群18枚,7 枚,28〜200 mm,0.19m(WIDE)/0.8m(TELE),1：3.1(WIDE)/1：3.8(TELE),F2.8-5.6,75.23〜12.21 度,　,TRUE,　,　,　,　,TRUE,　,　,　, ,　,　,67 mm,74x117 mm,575 g, ,,,,,,,,,,,,,,,
SAMYANG,AF 75mm F1.8 FE,K0001259495,α Eマウント系,単焦点,AF/MF,ポートレートレンズ,TRUE,　,9群10枚,9 枚,75 mm,0.69m,0.13倍,F1.8,32.9 度,　,　,　,　,　,　,　,　,　,　, ,　,　,58 mm,65x69 mm,230 g, ,,,,,,,,,,,,,,,
コシナ,フォクトレンダー NOKTON 35mm F1.2 Aspherical SE,K0001252045,α Eマウント系,単焦点,MF,単焦点レンズ,TRUE,　,7群9枚,12 枚,35 mm,0.3m,01:05.8,F1.2,61.9 度,　,　,　,　,　,　,　,　,　,　, ,TRUE,　,58 mm,66.5x59.9 mm,387 g, ,,,,,,,,,,,,,,,
TAMRON,70-180mm F/2.8 Di III VXD (Model A056),K0001248453,α Eマウント系,望遠ズーム,AF/MF,大口径望遠ズームレンズ,TRUE,　,14群19枚,9 枚,70〜180 mm,AF：0.85m(ズーム全域)MF：0.27m(WIDE)/0.85m(TELE),AF：1：4.6MF：1：2(WIDE)/1：4.6(TELE),F2.8,34.21〜13.42 度,　,TRUE,　,　,TRUE,　,　,　,　,　, ,TRUE,　,67 mm,81x149 mm,810 g, ,,,,,,,,,,,,,,,
Anhui ChangGeng Optical Technology,LAOWA 4mm F2.8 Fisheye [ソニーE用],K0001331127,α Eマウント系,単焦点,MF,魚眼レンズ,　,　,6群7枚,7 枚,4 mm,0.08m,0.11倍,F2.8,210 度,　,　,　,　,　,　,　,TRUE,　,　, ,　,　,　,45.2x25.5 mm,135 g, ,,,,,,,,,,,,,,,
Anhui ChangGeng Optical Technology,LAOWA 65mm F2.8 2X Ultra Macro APO [ソニーE用],K0001346359,α Eマウント系,単焦点,MF,マクロレンズ,　,TRUE,10群14枚,9 枚,65 mm,0.17m,2倍,F2.8,24.4 度,　,　,　,　,　,TRUE,　,　,　,　, ,　,　,52 mm,　,　, ,,,,,,,,,,,,,,,
SIRUI,50mm F1.8 1.33X アナモルフィックレンズ SR-MEK7E [ソニーE用],K0001241466,α Eマウント系,単焦点,MF,アナモルフィックレンズ,　,TRUE,8群11枚,10 枚,50 mm,0.85m,1：15.38(V)、1：20.17(H),F1.8,　,　,　,　,　,　,　,　,　,　,　, ,　,　,67 mm,　,　, ,,,,,,,,,,,,,,,
七工匠,7artisans 35mm F1.2 3512ES シルバー [ソニーE用],K0001254893,α Eマウント系,単焦点,MF,単焦点レンズ,　,TRUE,5群6枚,9 枚,35 mm,0.35m,　,F1.2,46 度,　,　,　,　,　,　,　,　,　,　, ,　,　,43 mm,　,150 g, ,,,,,,,,,,,,,,,
銘匠光学,TTArtisan 11mm f/2.8 Fisheye [ソニーE用],K0001251794,α Eマウント系,単焦点,MF,魚眼レンズ,TRUE,　,7群11枚,7 枚,11 mm,0.17m,　,F2.8,180 度,　,　,　,　,　,　,　,TRUE,　,　, ,　,　,　,　,　, ,,,,,,,,,,,,,,,
中一光学,APO 85mm F2.8 SUPER MACRO 1-5X [ソニーE用],K0001242480,α Eマウント系,単焦点,MF,マクロレンズ,TRUE,　,8群12枚,9 枚,85 mm,1X：0.272m、5X：0.1m,5倍,F2.8,　,　,　,　,　,　,TRUE,　,　,　,　, ,　,　,58 mm,67x155 mm,830 g, ,,,,,,,,,,,,,,,
SONY,FE 20mm F1.8 G SEL20F18G,K0001237298,α Eマウント系,単焦点,AF/MF,大口径広角単焦点レンズ,TRUE,　,12群14枚,9 枚,20 mm,0.19m(AF時)/0.18m(MF時),0.2倍(AF時)/0.22倍(MF時),F1.8,94 度,　,TRUE,TRUE,TRUE,　,　,　,　,　,　, ,TRUE,　,67 mm,73.5x84.7 mm,373 g, ,,,,,,,,,,,,,,,
TOKINA,atx-m 85mm F1.8 FE,K0001225184,α Eマウント系,単焦点,AF,中望遠レンズ,TRUE,　,7群10枚,9 枚,85 mm,0.8m,　,F1.8,28.5 度,　,　,　,　,　,　,　,　,　,　, ,　,　,72 mm,80x93 mm,645 g, ,,,,,,,,,,,,,,,
TAMRON,20mm F/2.8 Di III OSD M1：2 (Model F050),K0001204472,α Eマウント系,単焦点,AF/MF,超広角レンズ,TRUE,　,9群10枚,7 枚,20 mm,0.11m,1:02,F2.8,94.3 度,　,TRUE,　,TRUE,　,　,　,　,　,　, ,　,　,67 mm,73x64 mm,220 g, ,,,,,,,,,,,,,,,
Machang Optical,KAMLAN 15mm F2 [ソニーE用],K0001221274,α Eマウント系,単焦点,MF,広角レンズ,　,TRUE,9群11枚,　,15 mm,0.3m,　,F2,90 度,　,　,　,TRUE,　,　,　,　,　,　, ,　,　,62 mm,63x56 mm,254.4 g, ,,,,,,,,,,,,,,,
シグマ,24-70mm F2.8 DG DN [ソニーE用],K0001214290,α Eマウント系,標準ズーム,AF/MF,大口径標準ズームレンズ,TRUE,　,15群19枚,11 枚,24〜70 mm,18〜38cm,Wide：1：2.9/Tele：1：4.5,F2.8,84.1〜34.3 度,　,TRUE,TRUE,　,　,　,　,　,　,　, ,TRUE,　,82 mm,87.8x124.9 mm,830 g, ,,,,,,,,,,,,,,,
コシナ,フォクトレンダー APO-LANTHAR 50mm F2 Aspherical,K0001203812,α Eマウント系,単焦点,MF,標準レンズ,TRUE,　,8群10枚,12 枚,50 mm,0.45m,01:06.5,F2,46.5 度,　,　,　,　,　,　,　,　,　,　, ,　,　,49 mm,62.6x61.3 mm,364 g, ,,,,,,,,,,,,,,,
TAMRON,35mm F/2.8 Di III OSD M1：2 (Model F053),K0001204474,α Eマウント系,単焦点,AF/MF,広角レンズ,TRUE,　,8群9枚,7 枚,35 mm,0.15m,1:02,F2.8,63.26 度,　,TRUE,　,TRUE,　,　,　,　,　,　, ,　,　,67 mm,73x64 mm,210 g, ,,,,,,,,,,,,,,,
TAMRON,24mm F/2.8 Di III OSD M1：2 (Model F051),K0001204473,α Eマウント系,単焦点,AF/MF,広角レンズ,TRUE,　,9群10枚,7 枚,24 mm,0.12m,1:02,F2.8,84.04 度,　,TRUE,　,TRUE,　,　,　,　,　,　, ,　,　,67 mm,73x64 mm,215 g, ,,,,,,,,,,,,,,,
SAMYANG,AF 18mm F2.8 FE,K0001203673,α Eマウント系,単焦点,AF,超広角単焦点レンズ,TRUE,　,8群9枚,7 枚,18 mm,0.25m,0.09倍,F2.8,100.1 度,　,　,　,TRUE,　,　,　,　,　,　, ,　,　,58 mm,63.5x60.5 mm,145 g, ,,,,,,,,,,,,,,,
SONY,E 70-350mm F4.5-6.3 G OSS SEL70350G,K0001185650,α Eマウント系,望遠ズーム,AF/MF,超望遠ズームレンズ,　,TRUE,13群19枚,7 枚,70〜350 mm,1.1m〜1.5m,0.23倍,F4.5-6.3,22〜4.4 度,TRUE,TRUE,TRUE,　,TRUE,　,　,　,　,　, ,　,　,67 mm,77x142 mm,625 g, ,,,,,,,,,,,,,,,
SONY,E 16-55mm F2.8 G SEL1655G,K0001185649,α Eマウント系,標準ズーム,AF/MF,大口径標準ズームレンズ,　,TRUE,12群17枚,9 枚,16〜55 mm,0.33m,0.2倍,F2.8,83〜29 度,　,TRUE,TRUE,　,　,　,　,　,　,　, ,TRUE,　,67 mm,73x100 mm,494 g, ,,,,,,,,,,,,,,,
SONY,FE 35mm F1.8 SEL35F18F,K0001173506,α Eマウント系,単焦点,AF/MF,大口径広角単焦点レンズ,TRUE,　,9群11枚,9 枚,35 mm,0.22m,0.24倍,F1.8,63 度,　,TRUE,TRUE,TRUE,　,　,　,　,　,　, ,TRUE,　,55 mm,65.6x73 mm,280 g, ,,,,,,,,,,,,,,,
シグマ,14-24mm F2.8 DG DN [ソニーE用],K0001173990,α Eマウント系,広角ズーム,AF/MF,大口径超広角ズームレンズ,TRUE,　,13群18枚,11 枚,14〜24 mm,0.28m,01:07.3,F2.8,114.2〜84.1 度,　,TRUE,TRUE,TRUE,　,　,　,　,　,　, ,TRUE,　,　,85x133 mm,795 g, ,,,,,,,,,,,,,,,
七工匠,7Artisans 60mm F2.8 Macro [ソニーE用],K0001133731,α Eマウント系,単焦点,MF,マクロレンズ,　,TRUE,7群8枚,10 枚,60 mm,0.26m,1:01,F2.8,　,　,　,　,　,　,TRUE,　,　,　,　, ,　,　,37 mm,65x100 mm,530 g, ,,,,,,,,,,,,,,,
Anhui ChangGeng Optical Technology,LAOWA 100mm F2.8 2X Ultra Macro APO [ソニーE用],K0001177637,α Eマウント系,単焦点,MF,マクロレンズ,TRUE,　,10群12枚,13 枚,100 mm,0.247m,2倍,F2.8,24.4 度,　,　,　,　,　,TRUE,　,　,　,　, ,　,　,67 mm,72x155 mm,　, ,,,,,,,,,,,,,,,
シグマ,45mm F2.8 DG DN [ソニーE用],K0001173994,α Eマウント系,単焦点,AF/MF,標準レンズ,TRUE,　,7群8枚,7 枚,45 mm,0.24m,1:04,F2.8,51.3 度,　,TRUE,TRUE,　,　,　,　,　,　,　, ,　,　,55 mm,64x48.2 mm,235 g, ,,,,,,,,,,,,,,,
シグマ,35mm F1.2 DG DN [ソニーE用],K0001173992,α Eマウント系,単焦点,AF/MF,大口径単焦点レンズ,TRUE,　,12群17枚,11 枚,35 mm,0.3m,01:05.1,F1.2,63.4 度,　,TRUE,TRUE,　,　,　,　,　,　,　, ,TRUE,　,82 mm,87.8x138.2 mm,1080 g, ,,,,,,,,,,,,,,,
SONY,FE 200-600mm F5.6-6.3 G OSS SEL200600G,K0001165261,α Eマウント系,望遠ズーム,AF/MF,超望遠ズームレンズ,TRUE,　,17群24枚,11 枚,200〜600 mm,2.4m,0.2倍,F5.6-6.3,12.3〜4.1 度,TRUE,TRUE,TRUE,　,TRUE,　,　,　,　,　, ,　,　,95 mm,111.5x318 mm,2115 g, ,,,,,,,,,,,,,,,
TAMRON,17-28mm F/2.8 Di III RXD (Model A046),K0001170376,α Eマウント系,広角ズーム,AF/MF,大口径超広角ズームレンズ,TRUE,　,11群13枚,9 枚,17〜28 mm,0.19m,01:05.2,F2.8,103.41〜75.23 度,　,TRUE,　,TRUE,　,　,　,　,　,　, ,TRUE,　,67 mm,73x99 mm,420 g, ,,,,,,,,,,,,,,,
Machang Optical,KAMLAN 50mm F1.1 II [ソニーE用],K0001175305,α Eマウント系,単焦点,MF,　,　,TRUE,6群8枚,11 枚,50 mm,0.4m,　,F1.1,32 度,　,　,　,　,　,　,　,　,　,　, ,　,　,62 mm,　,563 g, ,,,,,,,,,,,,,,,
VILTROX,PFU RBMH 20mm F1.8 ASPH VM2018E,K0001169141,α Eマウント系,単焦点,MF,大口径広角単焦点レンズ,TRUE,　,9群12枚,14 枚,20 mm,0.25m,　,F1.8,　,　,　,　,TRUE,　,　,　,　,　,　, ,TRUE,　,　,76.8x102 mm,775 g, ,,,,,,,,,,,,,,,
コシナ,フォクトレンダー NOKTON 21mm F1.4 Aspherical,K0001157592,α Eマウント系,単焦点,MF,超広角レンズ,TRUE,　,11群13枚,12 枚,21 mm,0.25m,01:07.5,F1.4,90.8 度,　,　,　,TRUE,　,　,　,　,　,　, ,TRUE,　,62 mm,70.5x79.5 mm,560 g, ,,,,,,,,,,,,,,,
SAMYANG,AF 45mm F1.8 FE,K0001166804,α Eマウント系,単焦点,AF,標準レンズ,TRUE,　,6群7枚,9 枚,45 mm,0.45m,0.12倍,F1.8,52.31 度,　,　,　,　,　,　,　,　,　,　, ,　,　,49 mm,61.8x56.1 mm,162 g, ,,,,,,,,,,,,,,,
Machang Optical,KAMLAN 21mm F1.8 [ソニーE用],K0001166939,α Eマウント系,単焦点,MF,　,　,TRUE,8群10枚,　,21 mm,0.12m,　,F1.8,68 度,　,　,　,　,　,　,　,　,　,　, ,　,　,　,　,262 g, ,,,,,,,,,,,,,,,
七工匠,7Artisans 55mm F1.4 5514ES [ソニーE用],K0001163597,α Eマウント系,単焦点,MF,中望遠レンズ,　,TRUE,5群6枚,14 枚,55 mm,0.35m,　,F1.4,　,　,　,　,　,　,　,　,　,　,　, ,　,　,49 mm,57x60 mm,280 g, ,,,,,,,,,,,,,,,
Lensbaby,コンポーザープロII エッジ35 [ソニーE用],K0001157905,α Eマウント系,単焦点,MF,ティルトレンズ,TRUE,　,6群9枚,8 枚,35 mm,0.18m,1:05,F3.5,　,　,　,　,　,　,　,　,　,TRUE,　, ,　,　,　,63.5x112.8 mm,439.4 g, ,,,,,,,,,,,,,,,
SAMYANG,AF 85mm F1.4 FE,K0001157371,α Eマウント系,単焦点,AF,大口径中望遠レンズ,TRUE,　,8群11枚,9 枚,85 mm,0.9m,0.11倍,F1.4,28.9 度,　,　,　,　,　,　,　,　,　,　, ,TRUE,　,77 mm,88x99.5 mm,568 g, ,,,,,,,,,,,,,,,
七工匠,7Artisans 50mm F1.8 5018EB [ソニーE用],K0001156583,α Eマウント系,単焦点,MF,中望遠レンズ,　,TRUE,5群6枚,12 枚,50 mm,0.5m,　,F1.8,　,　,　,　,　,　,　,　,　,　,　, ,　,　,52 mm,60x41 mm,170 g, ,,,,,,,,,,,,,,,
中一光学,SPEEDMASTER 50mm F0.95 III [ソニーE用],K0001157907,α Eマウント系,単焦点,MF,超大口径標準レンズ,TRUE,　,7群10枚,11 枚,50 mm,0.5m,　,F0.95,　,　,　,　,　,　,　,　,　,　,　, ,TRUE,　,67 mm,73x88 mm,770 g, ,,,,,,,,,,,,,,,
TOKINA,FiRIN 100mm F2.8 FE MACRO,K0001152273,α Eマウント系,単焦点,AF/MF,中望遠マクロレンズ,TRUE,　,8群9枚,9 枚,100 mm,0.3m,1:01,F2.8,24.5 度,　,　,　,　,　,TRUE,　,　,　,　, ,　,　,55 mm,74x123 mm,570 g, ,,,,,,,,,,,,,,,
